a	ə
albons	ə l . b ˈo n s
alcalde	ə l . k ˈa l . d ə
alcaldes	ə l . k ˈa l . d ə s
alcohòlica	ə l . k u ˈɔ . l i . k ə
alcohòlics	ə l . k u ˈɔ . l i k s
alcohòliques	ə l . k u ˈɔ . l i . k ə s
alcohol	ə l . k u ˈɔ l
alcover	ə l . k u . b ˈe
aldo	ˈa l . d u
aleatoris	ə . l e . ə . t ˈɔ . ɾ i s
alegrar	ə . l ə . ɣ ɾ ˈa
alegrar-los	ə . l ə . ɣ ɾ ˈa ɾ l u s
alegrar-nos	ə . l ə . ɣ ɾ ˈa ɾ n u s
alegre	ə . l ˈe . g ɾ ə
alegria	ə . l ə . ɣ ɾ ˈi . ə
alegro	ə . l ˈɛ . g ɾ u
alejandro	ə . l ə . ʒ ˈa n . d ɾ u
alella	ə . l ˈe . ʎ ə
alemany	ə . l ə . m ˈa ɲ
alemanya	ə . l ə . m ˈa . ɲ ə
alenada	ə . l ə . n ˈa . ð ə
alerta	ə . l ˈɛ ɾ . t ə
alertes	ə . l ˈɛ ɾ . t ə s
ales	ˈa . l ə s
aleshores	ə . l ə z ˈɔ . ɾ ə s
Àlex	ˈa . l ə k s
alfabètic	ə l . f ə . β ˈɛ . t i k
alfacs	ə l . f ˈa k s
alfils	ə l . f ˈi l s
alfred	ə l . f ɾ ˈe t
alga	ˈa l . g ə
algú	ə l . g ˈu
algún	ə l . g ˈu n
algèria	ə l . ʒ ˈɛ . ɾ i . ə
algebraic	ə l . ʒ ə . β ɾ ˈa j k
algun	ə l . g ˈu n
alguna	ə l . g ˈu . n ə
algunes	ə l . g ˈu . n ə s
alguns	ə l . g ˈu n s
alhora	ə l ˈɔ . ɾ ə
Èlia	ˈɛ . l i . ə
aliança	ə . l i . ˈa n . s ə
alienats	ə . l i . ə . n ˈa t s
aliens	ə . l i . ˈɛ n s
aliment	ə . l i . m ˈe n
alimentació	ə . l i . m ə n . t ə . s i . ˈo
alimentar	ə . l i . m ə n . t ˈa
alimentaris	ə . l i . m ə n . t ˈa . ɾ i s
alimentar-nos	ə . l i . m ə n . t ˈa ɾ n u s
alimentaven	ə . l i . m ə n . t ˈa . b ə n
alimentàries	ə . l i . m ə n . t ˈa . ɾ i . ə s
aliments	ə . l i . m ˈe n s
alineació	ə . l i . n e . ə . s i . ˈo
alinear	ə . l i . n e . ˈa
alineats	ə . l i . n e . ˈa t s
all	ˈa ʎ
allí	ə . ʎ ˈi
allò	ə . ʎ ˈɔ
allarga	ə . ʎ ˈa ɾ . g ə
allargar	ə . ʎ ə ɾ . g ˈa
allargat	ə . ʎ ə ɾ . g ˈa t
allargats	ə . ʎ ə ɾ . g ˈa t s
allau	ə . ʎ ˈa w
allaus	ə . ʎ ˈa w s
allà	ə . ʎ ˈa
alletàvem	ə . ʎ ə . t ˈa . b ə m
alletin	ə . ʎ ˈɛ . t i n
alleuja	ə . ʎ ˈe w . ʒ ə
alleujada	ə . ʎ ə w . ʒ ˈa . ð ə
allibera	ə . ʎ i . b ˈe . ɾ ə
alliberades	ə . ʎ i . β ə . ɾ ˈa . ð ə s
alliberadors	ə . ʎ i . β ə . ɾ ə . d ˈo s
alliberament	ə . ʎ i . b ə . ɾ ə . m ˈe n
alliberar-les	ə . ʎ i . β ə . ɾ ˈa ɾ l ə s
alliberat	ə . ʎ i . β ə . ɾ ˈa t
allistar	ə . ʎ i s . t ˈa
allotjar-se	ə . ʎ u t . ʒ ˈa ɾ s ə
allotjat	ə . ʎ u t . ʒ ˈa t
allotjats	ə . ʎ u t . ʒ ˈa t s
allotjaven	ə . ʎ u t . ʒ ˈa . b ə n
allunyant-se	ə . ʎ u . ɲ ˈa n s ə
allunyar-los	ə . ʎ u . ɲ ˈa ɾ l u s
allunyats	ə . ʎ u . ɲ ˈa t s
allunyàrem	ə . ʎ u . ɲ ˈa . ɾ ə m
almívar	ə l . m ˈi . b ə ɾ
almenys	ə l . m ˈɛ ɲ s
almeria	ə l . m ə . ɾ ˈi . ə
almoina	ə l . m ˈɔ j . n ə
alps	ˈa l . p ə_essa_
alps	ˈa l . p ə_ˈe . s ə_
alps	ˈa l . p ə_ˈe . s ə_
als	ə l s
alsina	ə l . s ˈi . n ə
alt	ˈa l 
alta	ˈa l . t ə
altímetre	ə l . t ˈi . m ə . t ɾ ə
altar	ə l . t ˈa
altaveu	ə l . t ə . b ˈɛ w
alterés	ə l . t ə . ɾ ˈe s
alterat	ə l . t ə . ɾ ˈa t
alterats	ə l . t ə . ɾ ˈa t s
alteren	ə l . t ˈe . ɾ ə n
alternativa	ə l . t ə ɾ . n ə . t ˈi . β ə
alternativament	ə l . t ə ɾ . n ə . t ˈi . β ə . m ˈe n 
alternatives	ə l . t ə ɾ . n ə . t ˈi . β ə s
altes	ˈa l . t ə s
altiplans	ə l . t i . p l ˈa n s
altitud	ə l . t i . t ˈu t
altra	ˈa l . t ɾ ə
altre	ˈa l . t ɾ ə
altres	ˈa l . t ɾ ə s
altri	ˈa l . t ɾ i
altruisme	ə l . t ɾ u . ˈi s . m ə
alts	ˈa l s
altura	ə l . t ˈu . ɾ ə
alumna	ə . l ˈu m . n ə
alumnat	ə . l u m . n ˈa t
alumne	ə . l ˈu m . n ə
alumnes	ə . l ˈu m . n ə s
Álvarez	ˈa l . b a . ɾ e θ
alzina	ə l . z ˈi . n ə
alzines	ə l . z ˈi . n ə s
amè	ə . m ˈɛ
amabilitat	ə . m ə . β i . l i . t ˈa t
amable	ə . m ˈa . β l ə
amaga	ə . m ˈa . ɣ ə
amagades	ə . m ə . ɣ ˈa . ð ə s
amagant	ə . m ə . ɣ ˈa n 
amagant-li	ə . m ə . ɣ ˈa n l i
amagar	ə . m ə . ɣ ˈa
amagar-se	ə . m ə . ɣ ˈa ɾ s ə
amagat	ə . m ə . ɣ ˈa t
amagatall	ə . m ə . ɣ ə . t ˈa ʎ
amagava	ə . m ə . ɣ ˈa . b ə
amagaven	ə . m ə . ɣ ˈa . b ə n
amán	ə . m ˈa n
amanida	ə . m ə . n ˈi . ð ə
amanides	ə . m ə . n ˈi . ð ə s
amant	ə . m ˈa n 
amants	ə . m ˈa n s
amanyagués	ə . m ə . ɲ ə . g ˈe s
amarat	ə . m ə . ɾ ˈa t
amargament	ə . m ə ɾ . g ə . m ˈe n
amargant	ə . m ə ɾ . g ˈa n 
amèrica	ə . m ˈɛ . ɾ i . k ə
amarronat	ə . m ə . r u . n ˈa t
amat	ə . m ˈa t
amb	ˈa m
ambaixada	ə m . b ə ʃ ˈa . ð ə
ambdós	ə m b . d ˈo s
ambdues	ə m b . d ˈu . ə s
ambient	ə m . b i . ˈe n 
ambientadors	ə m . b i . ə n . t ə . d ˈo s
ambiental	ə m . b i . ə n . t ˈa l
ambients	ə m . b i . ˈe n s
ambigüitats	ə m . b i . g w i . t ˈa t s
ambigua	ə m . b ˈi . ɣ w ə
ambrosia	ə m . b ɾ u . z ˈi . ə
amenaça	ə . m ə . n ˈa . s ə
amenaçant	ə . m ə . n ə . s ˈa n 
amenacés	ə . m ə . n ə . s ˈe s
amenaces	ə . m ə . n ˈa . s ə s
americana	ə . m ə . ɾ i . k ˈa . n ə
americanes	ə . m ə . ɾ i . k ˈa . n ə s
americà	ə . m ə . ɾ i . k ˈa
ametlles	ə . m ˈɛ t . ʎ ə s
amic	ə . m ˈi k
amics	ə . m ˈi k s
amiga	ə . m ˈi . ɣ ə
amigdalitis	ə . m i g . d ə . l ˈi . t i s
amigues	ə . m ˈi . g ə s
amiguisme	ə . m i . g ˈi s . m ə
amistat	ə . m i s . t ˈa t
amistosament	ə . m i s . t ˈo . z ə . m ˈe n 
amo	ˈa . m u
amoniacal	ə . m u . n i . ə . k ˈa l
amor	ə . m ˈo ɾ
amors	ə . m ˈo ɾ s
amos	ˈa . m u s
ampi	ˈa m . p i
amplada	ə m . p l ˈa . ð ə
ample	ˈa m . p l ə
amples	ˈa m . p l ə s
ampli	ˈa m . p l i
ampliació	ə m . p l i . ə . s i . ˈo
ampliar	ə m . p l i . ˈa
ampliava	ə m . p l i . ˈa . b ə
amplificat	ə m . p l i . f i . k ˈa t
amplituds	ə m . p l i . t ˈu t s
ampolla	ə m . p ˈo . ʎ ə
ampolles	ə m . p ˈo . ʎ ə s
ampolleta	ə m . p u . ʎ ˈɛ . t ə
amposta	ə m . p ˈɔ s . t ə
amputacions	ə m . p u . t ə . s i . ˈo n s
amsterdam	ə m s . t ə ɾ . d ˈa m
amunt	ə . m ˈu n 
amuntegaven	ə . m u n . t ə . ɣ ˈa . b ə n
anònima	ə . n ˈɔ . n i . m ə
anònimes	ə . n ˈɔ . n i . m ə s
anònims	ə . n ˈɔ . n i m s
anècdota	ə . n ˈɛ g . d u . t ə
anècdotes	ə . n ˈɛ g . d u . t ə s
anada	ə . n ˈa . ð ə
anades	ə . n ˈa . ð ə s
anal	ə . n ˈa l
analitzador	ə . n ə . l i d . z ə . d ˈo
analitzadors	ə . n ə . l i d . z ə . d ˈo s
analitzant-me	ə . n ə . l i d . z ˈa n m ə
analitzar	ə . n ə . l i d . z ˈa
analitzaran	ə . n ə . l i d . z ə . ɾ ˈa n
analitzar-lo	ə . n ə . l i d . z ˈa ɾ l u
analitzar-los	ə . n ə . l i d . z ˈa ɾ l u s
analitzar-me	ə . n ə . l i d . z ˈa ɾ m ə
analitzeu-lo	ə . n ə . l i d . z ˈe w l u
analitzin	ə . n ə . l ˈi d . z i n
anant	ə . n ˈa n 
anar	ə . n ˈa
anaren	ə . n ˈa . ɾ ə n
anar-hi	ə . n ˈa ɾ i
anar-li	ə . n ˈa ɾ l i
anarquista	ə . n ə ɾ . k ˈi s . t ə
anar-se	ə . n ˈa ɾ s ə
anar-se-la	ə . n ˈa ɾ s ə l ə
anar-se'n	ə . n ˈa ɾ s ə n
anés	ə . n ˈe s
anéssim	ə . n ˈe . s i m
anat	ə . n ˈa t
anava	ə . n ˈa . b ə
anaven	ə . n ˈa . b ə n
anàlisi	ə . n ˈa . l i . z i
anàvem	ə . n ˈa . b ə m
ancestral	ə n . s ə s . t ɾ ˈa l
anciana	ə n . s i . ˈa . n ə
andalusia	ə n . d ə . l u . z ˈi . ə
índexs	ˈi n . d ə k s s
Índia	ˈi n . d i . ə
índic	ˈi n . d i k
andorra	ə n . d ˈo . r ə
andorrana	ə n . d u . r ˈa . n ə
andrea	ə n . d ɾ ˈe . ə
andreu	ə n . d ɾ ˈe w
anell	ə . n ˈe ʎ
anelles	ə . n ˈe . ʎ ə s
anem	ə . n ˈɛ m
anemòmetre	ə . n ə . m ˈɔ . m ə . t ɾ ə
anessin	ə . n ˈe . s i n
aneu	ə . n ˈɛ w
angèlica	ə n . ʒ ˈɛ . l i . k ə
angúnia	ə n . g ˈu . n i . ə
Àngel	ˈa n . ʒ ə l
anglòfona	ə n . g l ˈɔ . f u . n ə
anglès	ə n . g l ˈɛ s
anglaterra	ə n . g l ə . t ˈɛ . r ə
angle	ˈa n . g l ə
angles	ˈa n . g l ə s
anglesa	ə n . g l ˈɛ . z ə
anglesola	ə n . g l ə . z ˈɔ . l ə
anglosaxons	ə n . g l u . z ə k . s ˈo n s
angoixa	ə n . g ˈo ʃ ə
angoixós	ə n . g u ʃ ˈo s
angoixosos	ə n . g u ʃ ˈo . z u s
anguiles	ə n . g ˈi . l ə s
angunia	ə n . g u . n ˈi . ə
anhelant-la	ə n ə . l ˈa n l ə
anhels	ə n ˈɛ l s
animació	ə . n i . m ə . s i . ˈo
animada	ə . n i . m ˈa . ð ə
animal	ə . n i . m ˈa l
animalons	ə . n i . m ə . l ˈo n s
animals	ə . n i . m ˈa l s
animat	ə . n i . m ˈa t
aniran	ə . n i . ɾ ˈa n
anirà	ə . n i . ɾ ˈa
anirem	ə . n i . ɾ ˈɛ m
aniria	ə . n i . ɾ ˈi . ə
aniversari	ə . n i . β ə ɾ . s ˈa . ɾ i
anna	ˈa . n ə
anne	ˈa . n ə
annexa	ə . n ˈɛ k . s ə
anoia	ə . n ˈɔ . j ə
anomena	ə . n u . m ˈɛ . n ə
anomenada	ə . n u . m ə . n ˈa . ð ə
anomenar-les	ə . n u . m ə . n ˈa ɾ l ə s
anomenat	ə . n u . m ə . n ˈa t
anomenats	ə . n u . m ə . n ˈa t s
anomenava	ə . n u . m ə . n ˈa . b ə
anomenem	ə . n u . m ə . n ˈɛ m
anorac	ə . n u . ɾ ˈa k
anorèxia	ə . n u . ɾ ˈɛ k . s i . ə
anorèxica	ə . n u . ɾ ˈɛ k . s i . k ə
anotació	ə . n u . t ə . s i . ˈo
anques	ˈa n . k ə s
ansietat	ə n . s i . ə . t ˈa t
antídot	ə n . t ˈi . ð u t
antagonista	ə n . t ə . ɣ u . n ˈi s . t ə
antecedents	ə n . t ə . s ə . d ˈe n s
íntegra	ˈi n . t ə . ɣ ɾ ə
íntegrament	ˈi n . t ə . ɣ ɾ ə . m ˈe n 
antena	ə n . t ˈɛ . n ə
anterior	ə n . t ə . ɾ i . ˈo ɾ
anterioritat	ə n . t ə . ɾ i . u . ɾ i . t ˈa t
anteriorment	ə n . t ə . ɾ i . ˈo ɾ . m ˈe n 
anteriors	ə n . t ə . ɾ i . ˈo ɾ s
antiboira	ˌa n . t i . b ˈɔ j . ɾ ə
antic	ə n . t ˈi k
antics	ə n . t ˈi k s
antidroga	ˌa n . t i . ð ɾ ˈɔ . g ə
antiga	ə n . t ˈi . g ə
antigues	ə n . t ˈi . g ə s
antiguitat	ə n . t ˈi . g i . t ˈa t
íntimament	ˈi n . t i . m ə . m ˈe n 
antinatural	ˌa n . t i . n ə . t u . ɾ ˈa l
antiquari	ə n . t i . k w ˈa . ɾ i
antiquaris	ˌa n . t i . k w ˈa . ɾ i s
antirobatori	ˌa n . t i . ɾ u . β ə . t ˈɔ . ɾ i
antisida	ˌa n . t i . z ˈi . ð ə
antonímia	ə n . t u . n ˈi . m i . ə
antoni	ə n . t ˈɔ . n i
antonieta	ə n . t u . n i . ˈɛ . t ə
antonomàsia	ə n . t u . n u . m ˈa . z i . ə
antròpiques	ə n . t ɾ ˈɔ . p i . k ə s
antropòlegs	ə n . t ɾ u . p ˈɔ . l ə k s
antropologia	ə n . t ɾ u . p u . l u . ʒ ˈi . ə
anual	ə . n u . ˈa l
anualment	ə . n u . ˈa l . m ˈe n 
anuals	ə . n u . ˈa l s
anul·lar	ə . n u . l ˈa
anul·lat	ə . n u . l ˈa t
anunci	ə . n ˈu n . s i
anuncia	ə . n u n . s ˈi . ə
anunciar	ə . n u n . s i . ˈa
anunciat	ə . n u n . s i . ˈa t
anunciava	ə . n u n . s i . ˈa . b ə
anuncis	ə . n ˈu n . s i s
anvers	ə n . b ˈɛ ɾ s
anxoves	ə n . ʃ ˈɔ . b ə s
any	ˈa ɲ
anys	ˈa ɲ s
últim	ˈu l . t i m
última	ˈu l . t i . m ə
últimes	ˈu l . t i . m ə s
últims	ˈu l . t i m s
únic	ˈu . n i k
única	ˈu . n i . k ə
únicament	ˈu . n i . k ə . m ˈe n 
únics	ˈu . n i k s
úniques	ˈu . n i . k ə s
ús	ˈu s
útil	ˈu . t i l
útils	ˈu . t i l s
apache	ə . p ˈa . ʃ ə
apagant	ə . p ə . ɣ ˈa n 
apagar	ə . p ə . ɣ ˈa
apagar-la	ə . p ə . ɣ ˈa ɾ l ə
apagar-lo	ə . p ə . ɣ ˈa ɾ l u
apagar-se	ə . p ə . ɣ ˈa ɾ s ə
apago	ə . p ˈa . ɣ u
apallissar	ə . p ə . ʎ i . s ˈa
apèndix	ə . p ˈɛ n . d i k s
aparadors	ə . p ə . ɾ ə . d ˈo s
aparèixer	ə . p ə . ɾ ˈɛ ʃ ə
aparcada	ə . p ə ɾ . k ˈa . ð ə
aparcament	ə . p ə ɾ . k ə . m ˈe n
aparcat	ə . p ə ɾ . k ˈa t
aparcats	ə . p ə ɾ . k ˈa t s
aparegué	ə . p ə . ɾ ə . g ˈe
aparegueren	ə . p ə . ɾ ə . g ˈe . ɾ ə n
aparegui	ə . p ə . ɾ ˈɛ . g i
aparegut	ə . p ə . ɾ ə . ɣ ˈu t
apareix	ə . p ə . ɾ ˈɛ ʃ
apareixen	ə . p ə . ɾ ˈɛ ʃ ə n
apareixeran	ə . p ə . ɾ ə ʃ ə . ɾ ˈa n
apareixerà	ə . p ə . ɾ ə ʃ ə . ɾ ˈa
apareixien	ə . p ə . ɾ ə ʃ ˈi . ə n
aparell	ə . p ə . ɾ ˈɛ ʎ
aparells	ə . p ə . ɾ ˈɛ ʎ s
aparença	ə . p ə . ɾ ˈɛ n . s ə
aparent	ə . p ə . ɾ ˈe n 
aparició	ə . p ə . ɾ i . s i . ˈo
aparicio	ə . p ə . ɾ i . s ˈi . u
apart	ə . p ˈa ɾ t
aparta	ə . p ˈa ɾ . t ə
apartament	ə . p ə ɾ . t ə . m ˈe n
apartant	ə . p ə ɾ . t ˈa n 
apartant-lo	ə . p ə ɾ . t ˈa n l u
apartar	ə . p ə ɾ . t ˈa
apartat	ə . p ə ɾ . t ˈa t
apartats	ə . p ə ɾ . t ˈa t s
apartheid	ə . p ə ɾ t ˈɛ j t
aparto	ə . p ˈa ɾ . t u
apassionada	ə . p ə . s i . u . n ˈa . ð ə
apassionadament	ə . p ə . s i . u . n ˈa . ð ə . m ˈe n 
apendre	ə . p ˈɛ n . d ɾ ə
aperitiu	ə . p ə . ɾ i . t ˈi w
apetit	ə . p ə . t ˈi t
aplaudien	ə . p l ə w . ð ˈi . ə n
aplaudiment	ə . p l ə w . d i . m ˈe n
aplaudiments	ə . p l ə w . ð i . m ˈe n s
aplaudint	ə . p l ə w . ð ˈi n 
aplec	ə . p l ˈɛ k
aplicables	ə . p l i . k ˈa . β l ə s
aplicació	ə . p l i . k ə . s i . ˈo
aplicacions	ə . p l i . k ə . s i . ˈo n s
aplicada	ə . p l i . k ˈa . ð ə
aplicades	ə . p l i . k ˈa . ð ə s
aplicar	ə . p l i . k ˈa
apliquem	ə . p l i k ˈɛ m
època	ˈɛ . p u . k ə
apoderar-se	ə . p u . ð ə . ɾ ˈa ɾ s ə
èpoques	ˈɛ . p u . k ə s
aporta	ə . p ˈɔ ɾ . t ə
aportacions	ə . p u ɾ . t ə . s i . ˈo n s
aportar-nos	ə . p u ɾ . t ˈa ɾ n u s
aportessin	ə . p u ɾ . t ˈe . s i n
aposta	ə . p ˈɔ s . t ə
apostes	ə . p ˈɔ s . t ə s
aprèn	ə . p ɾ ˈɛ n
après	ə . p ɾ ˈɛ s
apreciables	ə . p ɾ ə . s i . ˈa . β l ə s
apreciar	ə . p ɾ ə . s i . ˈa
apreciava	ə . p ɾ ə . s i . ˈa . b ə
aprendre	ə . p ɾ ˈɛ n . d ɾ ə
aprendrem	ə . p ɾ ə n . d ɾ ˈɛ m
aprenent	ə . p ɾ ə . n ˈe n 
aprenentatge	ə . p ɾ ə . n ə n . t ˈa d . ʒ ə
aprenents	ə . p ɾ ə . n ˈe n s
aprengués	ə . p ɾ ə n . g ˈe s
aprenguéssim	ə . p ɾ ə n . g ˈe . s i m
aprengueu	ə . p ɾ ə n . g ˈɛ w
aprenguin	ə . p ɾ ˈɛ n . g i n
apretant	ə . p ɾ ə . t ˈa n 
apretar-me-les	ə . p ɾ ə . t ˈa ɾ m ə l ə s
aprimament	ə . p ɾ i . m ə . m ˈe n
aprofita	ə . p ɾ u . f ˈi . t ə
aprofitament	ə . p ɾ u . f i . t ə . m ˈe n
aprofitant	ə . p ɾ u . f i . t ˈa n 
aprofitant-se	ə . p ɾ u . f i . t ˈa n s ə
aprofitar	ə . p ɾ u . f i . t ˈa
aprofitàrem	ə . p ɾ u . f i . t ˈa . ɾ ə m
aprofiten	ə . p ɾ u . f ˈi . t ə n
aprofito	ə . p ɾ u . f ˈi . t u
aprofundir	ə . p ɾ u . f u n . d ˈi
aprop	ə . p ɾ ˈɔ p
apropaments	ə . p ɾ u . p ə . m ˈe n s
apropant	ə . p ɾ u . p ˈa n 
apropant-se	ə . p ɾ u . p ˈa n s ə
apropar	ə . p ɾ u . p ˈa
apropar-me	ə . p ɾ u . p ˈa ɾ m ə
apropar-s'hi	ə . p ɾ u . p ˈa ɾ s i
apropar-vos	ə . p ɾ u . p ˈa ɾ b u s
apropiada	ə . p ɾ u . p i . ˈa . ð ə
apropiat	ə . p ɾ u . p i . ˈa t
apropo	ə . p ɾ ˈɔ . p u
aprovació	ə . p ɾ u . β ə . s i . ˈo
aprovar	ə . p ɾ u . b ˈa
aprovéssim	ə . p ɾ u . β ˈe . s i m
aprovat	ə . p ɾ u . b ˈa t
aproven	ə . p ɾ ˈɔ . b ə n
aproximadament	ə . p ɾ u k . s i . m ˈa . ð ə . m ˈe n 
apte	ˈa p . t ə
apuja	ə . p ˈu . ʒ ə
apunt	ə . p ˈu n 
apuntades	ə . p u n . t ˈa . ð ə s
apuntant	ə . p u n . t ˈa n 
apuntar	ə . p u n . t ˈa
apuntar-se	ə . p u n . t ˈa ɾ s ə
apuntat	ə . p u n . t ˈa t
apunten	ə . p ˈu n . t ə n
apunts	ə . p ˈu n s
apurant	ə . p u . ɾ ˈa n 
apurar	ə . p u . ɾ ˈa
aqüífer	ə . k w ˈi . f ə ɾ
aquí	ə . k ˈi
aquàtiques	ə . k w ˈa . t i . k ə s
aquell	ə . k ˈɛ ʎ
aquella	ə . k ˈɛ . ʎ ə
aquelles	ə . k ˈɛ . ʎ ə s
aquells	ə . k ˈɛ ʎ s
aquest	ə . k ˈɛ t
aquesta	ə . k ˈɛ s . t ə
aquestes	ə . k ˈɛ s . t ə s
aquests	ə . k ˈɛ t s
ara	ˈa . ɾ ə
aragó	ə . ɾ ə . ɣ ˈo
aragonès	ə . ɾ ə . ɣ u . n ˈɛ s
arameu	ə . ɾ ə . m ˈɛ w
aran	ə . ɾ ˈa n
aranès	ə . ɾ ə . n ˈɛ s
aranya	ə . ɾ ˈa . ɲ ə
aràbia	ə . ɾ ˈa . β i . ə
arboç	ə ɾ . b ˈɔ s
arbre	ˈa ɾ . b ɾ ə
arbres	ˈa ɾ . b ɾ ə s
arbustiva	ə ɾ . b u s . t ˈi . β ə
arbusts	ə ɾ . b ˈu s t s
arc	ˈa ɾ k
arcs	ˈa ɾ k s
érem	ˈe . ɾ ə m
arenga	ə . ɾ ˈɛ n . g ə
arenys	ə . ɾ ˈɛ ɲ s
argel	ə ɾ . ʒ ˈɛ l
argelaga	ə ɾ . ʒ ə . l ˈa . ɣ ə
argentí	ə ɾ . ʒ ə n . t ˈi
argentina	ə ɾ . ʒ ə n . t ˈi . n ə
argiles	ə ɾ . ʒ ˈi . l ə s
argot	ə ɾ . g ˈɔ t
argots	ə ɾ . g ˈɔ t s
argument	ə ɾ . g u . m ˈe n
argumental	ə ɾ . g u . m ə n . t ˈa l
argumentant	ə ɾ . g u . m ə n . t ˈa n 
argumentar	ə ɾ . g u . m ə n . t ˈa
argumentativa	ə ɾ . g u . m ə n . t ə . t ˈi . β ə
argumentaven	ə ɾ . g u . m ə n . t ˈa . b ə n
arguments	ə ɾ . g u . m ˈe n s
ariadna	ə . ɾ i . ˈa d . n ə
arias	ə . ɾ ˈi . ə s
aristocràtic	ə . ɾ i s . t u . k ɾ ˈa . t i k
aritmètic	ə . ɾ i d . m ˈɛ . t i k
aritmètica	ə . ɾ i d . m ˈɛ . t i . k ə
aritmètiques	ə . ɾ i d . m ˈɛ . t i . k ə s
armadura	ə ɾ . m ə . ð ˈu . ɾ ə
armadures	ə ɾ . m ə . ð ˈu . ɾ ə s
armari	ə ɾ . m ˈa . ɾ i
armariets	ə ɾ . m ə . ɾ i . ˈɛ t s
armaris	ə ɾ . m ˈa . ɾ i s
armes	ˈa ɾ . m ə s
armilla	ə ɾ . m ˈi . ʎ ə
arnau	ə ɾ . n ˈa w
aroma	ə . ɾ ˈo . m ə
aromàtiques	ə . ɾ u . m ˈa . t i . k ə s
aromes	ə . ɾ ˈo . m ə s
arquímedes	ə ɾ . k ˈi . m ə . ð ə s
arqueològic	ə ɾ . k ə . u . l ˈɔ . ʒ i k
arquitecte	ə ɾ . k i . t ˈɛ k . t ə
arquitectes	ə ɾ . k i . t ˈɛ k . t ə s
arquitectura	ə ɾ . k i . t ə k . t ˈu . ɾ ə
arròs	ə . r ˈɔ s
arrabassar	ə . r ə . β ə . s ˈa
arracades	ə . r ə . k ˈa . ð ə s
arracono	ə . r ə . k ˈo . n u
arran	ə . r ˈa n
arrapar-s'hi	ə . r ə . p ˈa ɾ s i
arrasada	ə . r ə . z ˈa . ð ə
arrasar-la	ə . r ə . z ˈa ɾ l ə
arraulida	ə . r ə w . l ˈi . ð ə
arrauxada	ə . r ə w . ʃ ˈa . ð ə
arrebossada	ə . r ə . β u . s ˈa . ð ə
arrebossar-lo	ə . r ə . β u . s ˈa ɾ l u
arregla	ə . r ˈe . g l ə
arreglar	ə . r ə . ɣ l ˈa
arreglar-hi	ə . r ə . ɣ l ˈa ɾ i
arreglaria	ə . r ə . ɣ l ə . ɾ ˈi . ə
arreglar-se	ə . r ə . ɣ l ˈa ɾ s ə
arreglat	ə . r ə . ɣ l ˈa t
arreglava	ə . r ə . ɣ l ˈa . b ə
arregleu	ə . r ə . ɣ l ˈɛ w
arrel	ə . r ˈɛ l
arrelat	ə . r ə . l ˈa t
arrels	ə . r ˈɛ l s
arremangant-se	ə . r ə . m ə n . g ˈa n s ə
arrencada	ə . r ə n . k ˈa . ð ə
arrencar	ə . r ə n . k ˈa
arrencarà	ə . r ə n . k ə . ɾ ˈa
arrencat	ə . r ə n . k ˈa t
arrencava	ə . r ə n . k ˈa . b ə
arrepenjada	ə . r ə . p ə n . ʒ ˈa . ð ə
arrestat	ə . r ə s . t ˈa t
arreu	ə . r ˈɛ w
arriba	ə . r ˈi . β ə
arribada	ə . r i . β ˈa . ð ə
arribant	ə . r i . β ˈa n 
arribar	ə . r i . β ˈa
arribarà	ə . r i . β ə . ɾ ˈa
arribarem	ə . r i . β ə . ɾ ˈɛ m
arribar-hi	ə . r i . β ˈa ɾ i
arribés	ə . r i . β ˈe s
arribat	ə . r i . β ˈa t
arribats	ə . r i . β ˈa t s
arribava	ə . r i . β ˈa . b ə
arribaven	ə . r i . β ˈa . b ə n
arribem	ə . r i . b ˈɛ m
arriben	ə . r ˈi . β ə n
arribes	ə . r ˈi . β ə s
arribessin	ə . r i . b ˈe . s i n
arribi	ə . r ˈi . β i
arribo	ə . r ˈi . β u
arriessiu	ə . r i . ə . s ˈi w
arriet	ə . r i . ˈɛ t
arriscada	ə . r i s . k ˈa . ð ə
arriscat	ə . r i s . k ˈa t
arrissat	ə . r i . s ˈa t
arrissats	ə . r i . s ˈa t s
arrodoneixen	ə . r u . ð u . n ˈɛ ʃ ə n
arrodonides	ə . r u . ð u . n ˈi . ð ə s
arrodonit	ə . r u . ð u . n ˈi t
arrogant	ə . r u . ɣ ˈa n 
arromangar-se	ə . r u . m ə n . g ˈa ɾ s ə
arronsat	ə . r u n . s ˈa t
arronsava	ə . r u n . s ˈa . b ə
arrossega	ə . r u . s ˈɛ . g ə
arrossegada	ə . r u . s ə . ɣ ˈa . ð ə
arrossegament	ə . r u . s ə . g ə . m ˈe n
arrossegant	ə . r u . s ə . ɣ ˈa n 
arrossegant-se	ə . r u . s ə . ɣ ˈa n s ə
arrossegar	ə . r u . s ə . ɣ ˈa
arrossegar-lo	ə . r u . s ə . ɣ ˈa ɾ l u
arrossegar-nos	ə . r u . s ə . ɣ ˈa ɾ n u s
arrossegava	ə . r u . s ə . ɣ ˈa . b ə
arrossegueu	ə . r u . s ə . g ˈɛ w
arruïnada	ə . r u . ˈi . n ˈa . ð ə
arruïnats	ə . r u . ˈi . n ˈa t s
arruga	ə . r ˈu . ɣ ə
arrugada	ə . r u . ɣ ˈa . ð ə
